sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_123	GSE57945	0.852337	1.36157	0.742613	0.452831	signed_within_dataset_zscore_mean	ok
CCFA_Risk_124	GSE57945	0.203546	1.03642	-0.705714	0.279931	signed_within_dataset_zscore_mean	ok
CCFA_Risk_125	GSE57945	0.388105	0.677248	-0.168042	0.655109	signed_within_dataset_zscore_mean	ok
CCFA_Risk_126	GSE57945	0.350956	1.47362	-0.330687	-0.0900672	signed_within_dataset_zscore_mean	ok
CCFA_Risk_127	GSE57945	-0.106194	-0.10672	-0.529976	0.318115	signed_within_dataset_zscore_mean	ok
CCFA_Risk_128	GSE57945	0.0112878	0.926862	-1.05346	0.160462	signed_within_dataset_zscore_mean	ok
CCFA_Risk_129	GSE57945	-0.285767	0.228368	-0.763908	-0.32176	signed_within_dataset_zscore_mean	ok
CCFA_Risk_130	GSE57945	-0.444524	-0.124459	-1.07288	-0.136232	signed_within_dataset_zscore_mean	ok
CCFA_Risk_131	GSE57945	0.561997	2.64124	-1.15658	0.201337	signed_within_dataset_zscore_mean	ok
CCFA_Risk_132	GSE57945	0.188708	-0.296596	0.879726	-0.0170044	signed_within_dataset_zscore_mean	ok
CCFA_Risk_133	GSE57945	0.909794	-0.376836	2.54856	0.557657	signed_within_dataset_zscore_mean	ok
CCFA_Risk_134	GSE57945	0.448089	-0.0339589	1.52271	-0.144489	signed_within_dataset_zscore_mean	ok
CCFA_Risk_135	GSE57945	0.84471	1.2134	0.0136061	1.30713	signed_within_dataset_zscore_mean	ok
CCFA_Risk_136	GSE57945	0.371281	0.1083	0.760521	0.245021	signed_within_dataset_zscore_mean	ok
CCFA_Risk_137	GSE57945	0.512134	-0.14035	1.31103	0.36572	signed_within_dataset_zscore_mean	ok
CCFA_Risk_138	GSE57945	0.495035	0.789873	0.0704256	0.624805	signed_within_dataset_zscore_mean	ok
CCFA_Risk_139	GSE57945	1.07336	0.410538	1.79002	1.01953	signed_within_dataset_zscore_mean	ok
CCFA_Risk_140	GSE57945	1.01502	0.864476	1.36252	0.818062	signed_within_dataset_zscore_mean	ok
CCFA_Risk_141	GSE57945	0.067932	0.265832	-0.0259593	-0.0360766	signed_within_dataset_zscore_mean	ok
CCFA_Risk_142	GSE57945	1.17023	0.983476	1.19737	1.32984	signed_within_dataset_zscore_mean	ok
CCFA_Risk_143	GSE57945	0.760422	0.190029	0.932685	1.15855	signed_within_dataset_zscore_mean	ok
CCFA_Risk_144	GSE57945	-0.0685387	-0.128568	0.285879	-0.362927	signed_within_dataset_zscore_mean	ok
CCFA_Risk_145	GSE57945	0.50772	0.194632	0.228194	1.10033	signed_within_dataset_zscore_mean	ok
CCFA_Risk_146	GSE57945	1.10267	0.378702	1.62063	1.30867	signed_within_dataset_zscore_mean	ok
CCFA_Risk_147	GSE57945	0.165217	0.608275	-0.509125	0.396501	signed_within_dataset_zscore_mean	ok
CCFA_Risk_148	GSE57945	0.422806	1.13627	-0.836161	0.968307	signed_within_dataset_zscore_mean	ok
CCFA_Risk_149	GSE57945	1.16588	1.33904	0.880531	1.27808	signed_within_dataset_zscore_mean	ok
CCFA_Risk_150	GSE57945	1.02679	1.12492	0.657263	1.29818	signed_within_dataset_zscore_mean	ok
CCFA_Risk_151	GSE57945	0.453422	0.64708	-0.938111	1.6513	signed_within_dataset_zscore_mean	ok
CCFA_Risk_152	GSE57945	-0.592516	-0.998522	-0.798589	0.0195623	signed_within_dataset_zscore_mean	ok
CCFA_Risk_153	GSE57945	0.458021	0.595575	0.156681	0.621808	signed_within_dataset_zscore_mean	ok
CCFA_Risk_154	GSE57945	-0.341756	-0.479665	-0.699134	0.153531	signed_within_dataset_zscore_mean	ok
CCFA_Risk_155	GSE57945	-0.251876	-0.746968	-0.309033	0.300373	signed_within_dataset_zscore_mean	ok
CCFA_Risk_156	GSE57945	-0.237674	0.038743	-0.576507	-0.175258	signed_within_dataset_zscore_mean	ok
CCFA_Risk_157	GSE57945	1.16257	0.615904	1.01129	1.86053	signed_within_dataset_zscore_mean	ok
